player_id,full_name,first_name,last_name,is_active,birthdate
76001,Alaa Abdelnaby,Alaa,Abdelnaby,False,1968-06-24
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,False,1946-04-07
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,False,1947-04-16
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,False,1969-03-09
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,False,1974-11-03
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,False,1976-12-11
76005,Tom Abernethy,Tom,Abernethy,False,1954-05-06
76006,Forest Able,Forest,Able,False,1932-07-27
76007,John Abramovic,John,Abramovic,False,1919-02-09
203518,Alex Abrines,Alex,Abrines,False,1993-08-01
1630173,Precious Achiuwa,Precious,Achiuwa,True,1999-09-19
101165,Alex Acker,Alex,Acker,False,1983-01-21
76008,Donald Ackerman,Donald,Ackerman,False,1930-09-04
76009,Mark Acres,Mark,Acres,False,1962-11-15
76010,Charles Acton,Charles,Acton,False,1942-01-11
203112,Quincy Acy,Quincy,Acy,False,1990-10-06
76011,Alvan Adams,Alvan,Adams,False,1954-07-19
76012,Don Adams,Don,Adams,False,1947-11-27
200801,Hassan Adams,Hassan,Adams,False,1984-06-20
1629121,Jaylen Adams,Jaylen,Adams,False,1996-05-04
203919,Jordan Adams,Jordan,Adams,False,1994-07-08
149,Michael Adams,Michael,Adams,False,1963-01-19
203500,Steven Adams,Steven,Adams,True,1993-07-20
912,Rafael Addison,Rafael,Addison,False,1964-07-22
1628389,Bam Adebayo,Bam,Adebayo,True,1997-07-18
1629061,Deng Adel,Deng,Adel,False,1997-02-01
76015,Rick Adelman,Rick,Adelman,False,1946-06-16
202399,Jeff Adrien,Jeff,Adrien,False,1986-02-10
201167,Arron Afflalo,Arron,Afflalo,False,1985-10-15
1630534,Ochai Agbaji,Ochai,Agbaji,True,2000-04-20
200772,Maurice Ager,Maurice,Ager,False,1984-02-09
76016,Mark Aguirre,Mark,Aguirre,False,1959-12-10
201336,Blake Ahearn,Blake,Ahearn,False,1984-05-27
76017,Danny Ainge,Danny,Ainge,False,1959-03-17
201582,Alexis Ajinca,Alexis,Ajinca,False,1988-05-06
76018,Henry Akin,Henry,Akin,False,1944-07-31
203006,Josh Akognon,Josh,Akognon,False,1986-02-10
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,False,1993-06-05
202374,Solomon Alabi,Solomon,Alabi,False,1988-03-21
76019,Mark Alarie,Mark,Alarie,False,1963-12-11
76020,Gary Alcorn,Gary,Alcorn,False,1936-10-08
1630583,Santi Aldama,Santi,Aldama,True,2001-01-10
203128,Furkan Aldemir,Furkan,Aldemir,False,1991-08-09
202332,Cole Aldrich,Cole,Aldrich,False,1988-10-31
200746,LaMarcus Aldridge,LaMarcus,Aldridge,False,1985-07-19
76021,Chuck Aleksinas,Chuck,Aleksinas,False,1959-02-26
1626146,Cliff Alexander,Cliff,Alexander,False,1995-11-16
724,Cory Alexander,Cory,Alexander,False,1973-06-22
2042,Courtney Alexander,Courtney,Alexander,False,1977-04-27
76022,Gary Alexander,Gary,Alexander,False,1969-11-01
201570,Joe Alexander,Joe,Alexander,False,1986-12-26
1629734,Kyle Alexander,Kyle,Alexander,False,1996-10-21
1641725,Trey Alexander,Trey,Alexander,True,2003-05-02
1630234,Ty-Shon Alexander,Ty-Shon,Alexander,False,1998-07-16
2349,Victor Alexander,Victor,Alexander,False,1969-08-31
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,1998-09-02
76024,Steve Alford,Steve,Alford,False,1964-11-23
1628959,Rawle Alkins,Rawle,Alkins,False,1997-10-29
76028,Bob Allen,Bob,Allen,False,1946-07-17
1628960,Grayson Allen,Grayson,Allen,True,1995-10-08
1628386,Jarrett Allen,Jarrett,Allen,True,1998-04-21
706,Jerome Allen,Jerome,Allen,False,1973-01-28
1628443,Kadeem Allen,Kadeem,Allen,False,1993-01-15
202730,Lavoy Allen,Lavoy,Allen,False,1989-02-04
76027,Lucius Allen,Lucius,Allen,False,1947-09-26
2124,Malik Allen,Malik,Allen,False,1978-06-27
76025,Randy Allen,Randy,Allen,False,1965-01-26
951,Ray Allen,Ray,Allen,False,1975-07-20
1641851,Timmy Allen,Timmy,Allen,False,2000-01-09
2754,Tony Allen,Tony,Allen,False,1982-01-11
76029,Odis Allison,Odis,Allison,False,1949-10-02
200984,Lance Allred,Lance,Allred,False,1981-02-02
76030,Darrell Allums,Darrell,Allums,False,1958-09-12
201165,Morris Almond,Morris,Almond,False,1985-02-02
308,Derrick Alston,Derrick,Alston,False,1972-08-20
1747,Rafer Alston,Rafer,Alston,False,1976-07-24
1824,Peter Aluma,Peter,Aluma,False,1973-04-26
1630631,Jose Alvarado,Jose,Alvarado,True,1998-04-12
680,John Amaechi,John,Amaechi,False,1970-11-26
732,Ashraf Amaya,Ashraf,Amaya,False,1971-11-23
202329,Al-Farouq Aminu,Al-Farouq,Aminu,False,1990-09-21
200811,Lou Amundson,Lou,Amundson,False,1982-12-07
76034,Bob Anderegg,Bob,Anderegg,False,1937-08-24
2365,Chris Andersen,Chris,Andersen,False,1978-07-07
2431,David Andersen,David,Andersen,False,1980-06-23
101187,Alan Anderson,Alan,Anderson,False,1982-10-16
202079,Antonio Anderson,Antonio,Anderson,False,1985-06-05
76035,Cliff Anderson,Cliff,Anderson,False,1944-09-07
76036,Daniel Anderson,Daniel,Anderson,False,1951-01-01
1507,Derek Anderson,Derek,Anderson,False,1974-07-18
