personId,firstName,familyName,speed,distance,full_name
2419,Tayshaun,Prince,3.99,1.95,Tayshaun Prince
708,Kevin,Garnett,4.02,1.49,Kevin Garnett
1626157,Karl-Anthony,Towns,4.08,2.25,Karl-Anthony Towns
203952,Andrew,Wiggins,4.08,2.08,Andrew Wiggins
201937,Ricky,Rubio,4.28,2.16,Ricky Rubio
202357,Nemanja,Bjelica,4.28,1.83,Nemanja Bjelica
2755,Kevin,Martin,4.02,1.43,Kevin Martin
203498,Shabazz,Muhammad,4.8,1.29,Shabazz Muhammad
203476,Gorgui,Dieng,4.14,0.91,Gorgui Dieng
203897,Zach,LaVine,4.55,1.34,Zach LaVine
1889,Andre,Miller,0.0,0.0,Andre Miller
203940,Adreian,Payne,0.0,0.0,Adreian Payne
204014,Damjan,Rudez,0.0,0.0,Damjan Rudez
201568,Danilo,Gallinari,4.01,2.23,Danilo Gallinari
202702,Kenneth,Faried,4.15,1.84,Kenneth Faried
203530,Joffrey,Lauvergne,4.23,1.14,Joffrey Lauvergne
203914,Gary,Harris,4.15,1.23,Gary Harris
1626144,Emmanuel,Mudiay,4.43,1.95,Emmanuel Mudiay
203115,Will,Barton,4.34,2.15,Will Barton
200751,Randy,Foye,3.79,0.53,Randy Foye
2749,Jameer,Nelson,4.06,1.73,Jameer Nelson
201589,Darrell,Arthur,4.08,1.8,Darrell Arthur
203999,Nikola,Jokić,4.15,1.25,Nikola Jokić
2034,Mike,Miller,4.56,0.71,Mike Miller
203475,Erick,Green,3.32,0.09,Erick Green
201581,JJ,Hickson,0.0,0.0,JJ Hickson
203490,Otto,Porter Jr.,4.54,2.34,Otto Porter Jr.
2743,Kris,Humphries,4.34,1.03,Kris Humphries
101162,Marcin,Gortat,4.24,1.87,Marcin Gortat
203078,Bradley,Beal,4.55,2.25,Bradley Beal
202322,John,Wall,3.98,2.25,John Wall
2400,Drew,Gooden,4.25,0.6,Drew Gooden
202390,Gary,Neal,4.29,1.57,Gary Neal
2403,Nene,Hilario,3.84,1.37,Nene Hilario
201196,Ramon,Sessions,4.33,1.89,Ramon Sessions
201162,Jared,Dudley,4.21,1.78,Jared Dudley
1626162,Kelly,Oubre Jr.,4.27,0.08,Kelly Oubre Jr.
202066,Garrett,Temple,3.39,0.01,Garrett Temple
201971,DeJuan,Blair,0.0,0.0,DeJuan Blair
203507,Giannis,Antetokounmpo,4.48,2.54,Giannis Antetokounmpo
203948,Johnny,O'Bryant III,4.68,2.16,Johnny O'Bryant III
202328,Greg,Monroe,4.14,2.41,Greg Monroe
203114,Khris,Middleton,4.25,2.75,Khris Middleton
203487,Michael,Carter-Williams,4.54,2.69,Michael Carter-Williams
203142,Chris,Copeland,3.97,0.58,Chris Copeland
201573,Jerryd,Bayless,4.29,1.93,Jerryd Bayless
203101,Miles,Plumlee,4.72,1.03,Miles Plumlee
203996,Damien,Inglis,4.94,0.27,Damien Inglis
202349,Greivis,Vasquez,4.73,1.31,Greivis Vasquez
203089,John,Henson,0.0,0.0,John Henson
201564,O.J.,Mayo,0.0,0.0,O.J. Mayo
1626173,Rashad,Vaughn,0.0,0.0,Rashad Vaughn
202330,Gordon,Hayward,4.48,2.33,Gordon Hayward
202324,Derrick,Favors,4.28,2.08,Derrick Favors
203497,Rudy,Gobert,4.21,2.21,Rudy Gobert
203918,Rodney,Hood,4.42,1.67,Rodney Hood
203526,Raul,Neto,4.85,1.66,Raul Neto
202407,Elijah,Millsap,4.8,0.43,Elijah Millsap
202692,Alec,Burks,4.33,1.93,Alec Burks
203504,Trey,Burke,4.64,2.12,Trey Burke
202344,Trevor,Booker,4.47,1.33,Trevor Booker
1626168,Trey,Lyles,4.54,0.57,Trey Lyles
204060,Joe,Ingles,4.45,1.02,Joe Ingles
203187,Chris,Johnson,4.36,0.28,Chris Johnson
202353,Tibor,Pleiss,4.31,0.16,Tibor Pleiss
203960,JaKarr,Sampson,4.83,1.65,JaKarr Sampson
203457,Nerlens,Noel,4.16,2.48,Nerlens Noel
1626143,Jahlil,Okafor,4.02,2.41,Jahlil Okafor
203138,Hollis,Thompson,4.52,2.37,Hollis Thompson
203477,Isaiah,Canaan,4.37,2.27,Isaiah Canaan
203917,Nik,Stauskas,4.72,1.67,Nik Stauskas
203924,Jerami,Grant,4.78,2.03,Jerami Grant
204456,T.J.,McConnell,4.91,2.17,T.J. McConnell
1626158,Richaun,Holmes,4.33,0.45,Richaun Holmes
1626174,Christian,Wood,4.69,0.42,Christian Wood
203496,Robert,Covington,0.0,0.0,Robert Covington
203088,Kendall,Marshall,0.0,0.0,Kendall Marshall
203084,Harrison,Barnes,4.52,1.99,Harrison Barnes
203110,Draymond,Green,4.15,2.16,Draymond Green
203105,Festus,Ezeli,4.25,1.75,Festus Ezeli
202691,Klay,Thompson,4.4,1.76,Klay Thompson
201939,Stephen,Curry,4.59,2.09,Stephen Curry
2738,Andre,Iguodala,4.12,2.04,Andre Iguodala
2733,Shaun,Livingston,4.38,1.45,Shaun Livingston
201578,Marreese,Speights,3.94,0.83,Marreese Speights
2571,Leandro,Barbosa,4.42,1.43,Leandro Barbosa
201574,Jason,Thompson,4.41,0.47,Jason Thompson
203949,James Michael,McAdoo,4.77,0.59,James Michael McAdoo
201575,Brandon,Rush,4.61,0.45,Brandon Rush
203546,Ian,Clark,5.06,0.39,Ian Clark
2772,Trevor,Ariza,4.42,2.18,Trevor Ariza
203093,Terrence,Jones,4.51,1.36,Terrence Jones
2730,Dwight,Howard,4.13,1.5,Dwight Howard
201935,James,Harden,3.89,2.4,James Harden
201951,Ty,Lawson,4.22,2.49,Ty Lawson
203991,Clint,Capela,4.33,1.28,Clint Capela
1626149,Montrezl,Harrell,4.35,1.53,Montrezl Harrell
201976,Patrick,Beverley,4.51,1.57,Patrick Beverley
201147,Corey,Brewer,4.54,2.19,Corey Brewer
203909,KJ,McDaniels,4.77,0.36,KJ McDaniels
1626155,Sam,Dekker,5.21,0.39,Sam Dekker
1891,Jason,Terry,0.0,0.0,Jason Terry
201977,Marcus,Thornton,0.0,0.0,Marcus Thornton
2207,Joe,Johnson,4.4,1.84,Joe Johnson
201152,Thaddeus,Young,4.31,2.04,Thaddeus Young
201572,Brook,Lopez,3.86,2.05,Brook Lopez
201961,Wayne,Ellington,4.58,1.39,Wayne Ellington
101127,Jarrett,Jack,4.17,1.86,Jarrett Jack
203499,Shane,Larkin,4.69,1.28,Shane Larkin
202711,Bojan,Bogdanovic,4.16,1.35,Bojan Bogdanovic
1626178,Rondae,Hollis-Jefferson,4.51,1.96,Rondae Hollis-Jefferson
200745,Andrea,Bargnani,3.93,1.07,Andrea Bargnani
203080,Thomas,Robinson,4.34,1.11,Thomas Robinson
203900,Markel,Brown,4.31,0.6,Markel Brown
202388,Donald,Sloan,4.9,0.38,Donald Sloan
203508,Sergey,Karasev,4.08,0.16,Sergey Karasev
202695,Kawhi,Leonard,4.52,1.94,Kawhi Leonard
200746,LaMarcus,Aldridge,3.97,1.95,LaMarcus Aldridge
1495,Tim,Duncan,4.03,1.95,Tim Duncan
201980,Danny,Green,4.93,2.17,Danny Green
2225,Tony,Parker,4.59,1.8,Tony Parker
201988,Patty,Mills,5.08,1.56,Patty Mills
1938,Manu,Ginobili,4.42,1.59,Manu Ginobili
2564,Boris,Diaw,4.24,1.32,Boris Diaw
203937,Kyle,Anderson,4.29,0.78,Kyle Anderson
2561,David,West,3.93,0.92,David West
2446,Rasual,Butler,4.56,0.85,Rasual Butler
203492,Ray,McCallum,4.85,0.47,Ray McCallum
1626246,Boban,Marjanovic,4.11,0.32,Boban Marjanovic
2736,Luol,Deng,4.28,2.08,Luol Deng
2547,Chris,Bosh,3.9,2.15,Chris Bosh
202355,Hassan,Whiteside,4.01,2.41,Hassan Whiteside
201609,Goran,Dragic,4.39,2.46,Goran Dragic
2548,Dwyane,Wade,3.97,2.01,Dwyane Wade
1626159,Justise,Winslow,4.09,1.28,Justise Winslow
201596,Mario,Chalmers,4.13,0.99,Mario Chalmers
101123,Gerald,Green,4.22,1.13,Gerald Green
201177,Josh,McRoberts,4.22,0.93,Josh McRoberts
2405,Amar'e,Stoudemire,3.99,0.79,Amar'e Stoudemire
203516,James,Ennis III,4.0,0.1,James Ennis III
204020,Tyler,Johnson,3.47,0.09,Tyler Johnson
2617,Udonis,Haslem,0.0,0.0,Udonis Haslem
2544,LeBron,James,4.16,2.35,LeBron James
201567,Kevin,Love,4.21,2.32,Kevin Love
202389,Timofey,Mozgov,4.33,1.3,Timofey Mozgov
2747,JR,Smith,4.09,1.52,JR Smith
2590,Mo,Williams,4.09,1.76,Mo Williams
203521,Matthew,Dellavedova,4.46,2.0,Matthew Dellavedova
2210,Richard,Jefferson,3.81,1.55,Richard Jefferson
202684,Tristan,Thompson,4.36,1.89,Tristan Thompson
203099,Jared,Cunningham,4.46,0.68,Jared Cunningham
2760,Anderson,Varejao,4.16,1.1,Anderson Varejao
2592,James,Jones,4.8,0.12,James Jones
203925,Joe,Harris,3.65,0.09,Joe Harris
201619,Sasha,Kaun,3.98,0.1,Sasha Kaun
201587,Nicolas,Batum,4.41,2.45,Nicolas Batum
101107,Marvin,Williams,4.29,2.53,Marvin Williams
2744,Al,Jefferson,3.99,1.98,Al Jefferson
203798,PJ,Hairston,4.46,1.23,PJ Hairston
202689,Kemba,Walker,4.23,2.44,Kemba Walker
203469,Cody,Zeller,4.76,1.33,Cody Zeller
201150,Spencer,Hawes,4.17,1.23,Spencer Hawes
202391,Jeremy,Lin,4.49,2.02,Jeremy Lin
203087,Jeremy,Lamb,4.68,1.13,Jeremy Lamb
1626163,Frank,Kaminsky,4.72,1.06,Frank Kaminsky
201946,Tyler,Hansbrough,0.0,0.0,Tyler Hansbrough
1626151,Aaron,Harrison,0.0,0.0,Aaron Harrison
203148,Brian,Roberts,0.0,0.0,Brian Roberts
203145,Kent,Bazemore,4.64,2.36,Kent Bazemore
200794,Paul,Millsap,4.08,2.5,Paul Millsap
201143,Al,Horford,4.07,2.36,Al Horford
201952,Jeff,Teague,3.89,2.17,Jeff Teague
203471,Dennis,Schröder,4.59,2.52,Dennis Schröder
203934,Lamar,Patterson,4.46,1.57,Lamar Patterson
201168,Tiago,Splitter,4.36,1.15,Tiago Splitter
200757,Thabo,Sefolosha,4.2,1.45,Thabo Sefolosha
203118,Mike,Scott,4.6,0.99,Mike Scott
203501,Tim,Hardaway Jr.,0.0,0.0,Tim Hardaway Jr.
203200,Justin,Holiday,0.0,0.0,Justin Holiday
202714,Shelvin,Mack,0.0,0.0,Shelvin Mack
204002,Edy,Tavares,0.0,0.0,Edy Tavares
203503,Tony,Snell,3.91,1.96,Tony Snell
202703,Nikola,Mirotic,4.08,2.61,Nikola Mirotic
2200,Pau,Gasol,3.95,2.11,Pau Gasol
202710,Jimmy,Butler III,4.29,3.01,Jimmy Butler III
201565,Derrick,Rose,4.14,2.38,Derrick Rose
202734,E'Twaun,Moore,4.21,1.27,E'Twaun Moore
201149,Joakim,Noah,4.3,1.24,Joakim Noah
201166,Aaron,Brooks,4.08,1.21,Aaron Brooks
201959,Taj,Gibson,4.12,1.34,Taj Gibson
203926,Doug,McDermott,4.7,1.13,Doug McDermott
1626245,Cristiano,Felicio,0.0,0.0,Cristiano Felicio
2550,Kirk,Hinrich,0.0,0.0,Kirk Hinrich
1626171,Bobby,Portis,0.0,0.0,Bobby Portis
202694,Marcus,Morris Sr.,4.2,2.92,Marcus Morris Sr.
101141,Ersan,Ilyasova,4.31,1.56,Ersan Ilyasova
203083,Andre,Drummond,3.85,2.51,Andre Drummond
203484,Kentavious,Caldwell-Pope,4.18,2.68,Kentavious Caldwell-Pope
202704,Reggie,Jackson,4.43,2.73,Reggie Jackson
203382,Aron,Baynes,4.28,0.99,Aron Baynes
2581,Steve,Blake,4.24,1.12,Steve Blake
201229,Anthony,Tolliver,4.04,2.03,Anthony Tolliver
1626169,Stanley,Johnson,4.75,0.94,Stanley Johnson
203493,Reggie,Bullock Jr.,4.47,1.09,Reggie Bullock Jr.
201202,Joel,Anthony,0.0,0.0,Joel Anthony
203915,Spencer,Dinwiddie,0.0,0.0,Spencer Dinwiddie
1626199,Darrun,Hilliard,0.0,0.0,Darrun Hilliard
977,Kobe,Bryant,4.34,1.6,Kobe Bryant
